id,incorrect_form,incorrect_placement,incorrect_whitespace,incorrect_use
347,0,0,0,0
1344,0,0,0,0
3272,1,3,6,0
4041,0,0,0,0
6435,0,0,0,0
6786,0,0,0,0
8770,0,0,0,0
8846,0,0,0,0
12271,0,0,0,0
14224,0,0,0,0
14436,0,3,19,0
15090,0,0,0,0
18156,0,1,7,9
19433,0,0,0,0
25018,0,0,0,0
25617,0,0,1,0
25780,0,4,0,0
25880,0,0,0,0
26620,0,0,1,0
32782,0,0,0,0
36896,0,0,0,0
40857,0,0,0,0
41310,1,0,0,0
45581,0,0,0,0
45698,0,0,0,0
46610,0,0,0,0
48812,0,0,0,0
48862,0,0,0,0
49054,0,0,0,0
50487,0,0,4,0
51698,0,0,0,0
52125,0,0,0,0
56411,0,0,0,0
58389,0,0,0,0
58425,0,0,0,0
58498,0,0,0,0
59240,0,0,0,0
60479,0,0,0,0
63623,0,0,0,0
64974,1,0,0,0
65867,0,0,0,0
67277,0,0,0,0
67569,0,0,0,0
68139,0,0,0,0
68623,0,0,0,0
68716,0,0,1,0
70503,0,0,0,0
70610,1,3,0,0
71242,0,0,0,0
71441,0,1,4,0
72039,0,4,1,0
72047,0,1,0,0
72094,0,9,11,0
72972,0,0,2,0
73240,0,0,0,0
73542,0,0,0,0
74316,0,0,0,0
74350,0,7,6,0
76035,0,0,0,0
76082,0,0,0,0
76143,0,0,0,0
77617,0,0,0,0
79717,0,0,0,0
80018,0,0,0,0
80340,0,0,0,0
82827,0,0,0,0
84248,0,0,0,0
84523,0,0,1,0
85204,0,1,1,0
85272,0,0,0,0
86057,0,0,0,0
89381,0,0,0,0
94894,0,0,0,0
96208,0,0,0,0
97590,0,0,0,0
97879,0,0,0,0
98553,1,0,0,0
102226,0,0,0,0
102636,0,0,0,0
104052,0,0,0,0
104078,0,0,0,0
109526,0,0,0,0
109677,0,0,0,0
111250,0,0,3,0
111449,0,0,0,0
111845,0,0,0,0
113012,0,0,0,0
114874,0,0,0,0
115226,0,0,0,0
117121,0,0,0,0
117291,0,2,2,0
119098,0,0,0,0
119974,0,0,0,0
120287,1,0,6,0
122065,0,0,0,0
124965,0,0,0,0
125027,1,0,1,0
130813,0,0,0,0
134000,0,0,0,0
134992,0,0,0,0
136478,0,0,0,0
137319,0,0,0,0
141903,0,0,0,0
142920,0,0,0,0
144004,1,0,0,0
146184,0,0,0,0
146266,0,0,0,0
146462,0,0,0,0
149503,1,4,1,0
149842,0,0,0,0
149962,0,0,0,0
150936,0,0,0,0
152120,0,0,0,0
152966,0,0,0,0
153936,0,0,0,0
156255,0,0,0,0
157532,0,0,0,0
157644,0,0,0,0
159144,0,0,0,0
161065,0,0,0,0
162217,0,0,0,0
162443,0,0,0,0
164589,0,0,0,0
164678,0,0,0,0
165588,0,0,1,0
166869,0,0,0,0
167947,0,0,0,0
168696,0,0,0,0
170161,1,0,2,0
171186,1,1,7,0
171562,0,0,0,3
171631,0,0,0,0
171856,2,2,0,0
172234,0,0,0,0
173074,0,0,0,0
173878,0,0,0,0
174519,0,0,0,0
181747,0,0,0,0
184428,0,0,0,0
185994,0,0,0,0
187522,0,0,0,0
187725,0,0,0,0
187877,0,0,0,0
187937,0,0,0,0
188174,0,0,0,0
189760,0,0,0,0
190078,0,0,0,0
190259,0,0,0,0
190787,0,0,0,0
192242,0,2,0,0
193219,0,0,0,0
193858,0,0,0,0
194626,0,0,0,0
195131,0,0,0,0
196360,0,1,6,0
196363,0,0,0,0
196585,0,0,0,0
196755,0,0,0,0
198539,0,0,0,0
198589,0,0,0,0
202158,0,0,0,0
205030,0,0,0,0
205879,0,0,0,0
206644,0,0,0,0
207928,0,0,0,0
207973,0,0,0,0
