id,incorrect_form,incorrect_placement,incorrect_whitespace,incorrect_use
1329,0,0,0,0
3251,0,0,0,0
4038,0,0,0,0
6722,1,0,1,0
6772,0,0,0,0
7634,0,0,0,0
8314,0,0,0,0
8735,0,0,0,0
8834,1,4,3,0
10217,1,6,5,0
10639,0,0,2,0
11569,1,0,2,0
12984,0,0,0,0
14222,0,0,4,0
14879,0,0,0,0
15072,0,0,0,0
16401,2,2,11,4
18079,2,0,4,3
18451,0,0,0,0
18878,0,0,4,0
25384,0,0,0,0
25853,0,0,0,0
29626,1,0,10,0
40851,0,0,0,0
42140,0,0,0,0
45571,0,0,0,0
48341,0,0,0,0
48813,1,0,0,0
48832,1,0,0,0
48919,0,0,0,0
49454,0,2,0,0
50639,0,6,0,0
54907,0,0,0,0
55128,0,0,0,0
58760,0,0,0,0
59972,0,2,0,0
60410,1,0,0,0
60784,0,0,0,0
65779,2,0,8,0
65818,0,0,0,0
67999,0,0,0,0
68148,0,0,0,0
68183,0,1,2,0
69281,0,0,0,0
69689,1,1,5,0
70494,3,1,6,0
71438,0,0,0,0
72914,0,0,0,0
72948,0,0,2,0
73603,0,0,1,0
74292,0,0,0,0
75985,0,0,0,0
76079,0,0,0,0
76267,0,0,0,0
76338,0,0,0,0
77600,0,0,0,0
77605,0,0,0,0
78177,0,1,0,0
78594,0,0,0,0
78793,0,4,0,3
80135,0,0,0,0
80233,0,0,6,0
81358,0,0,0,0
81409,0,0,0,0
84548,0,0,0,0
85194,0,1,1,0
85215,0,0,0,0
85659,0,0,0,0
86827,0,0,0,0
89308,0,1,1,0
93450,0,0,8,0
94248,0,0,0,0
94320,0,0,0,0
95026,0,0,0,0
96346,0,0,0,0
96401,0,0,0,0
96471,0,0,0,0
96837,0,0,0,0
96871,0,0,0,0
97576,0,0,0,0
97601,0,0,0,0
97842,0,0,0,0
98429,0,0,0,6
98562,0,0,0,0
98755,2,0,5,2
100332,0,0,1,1
100905,0,0,0,0
101595,0,0,2,0
101703,0,0,0,0
101812,0,0,0,0
102447,0,0,0,0
103270,0,0,0,0
104046,0,0,0,0
105223,0,0,0,0
106607,0,0,0,0
109519,4,0,11,0
109635,0,0,0,0
109658,0,0,0,0
110720,0,2,0,0
111058,0,0,0,0
111443,0,0,0,0
111536,0,0,0,0
111791,0,0,0,0
111954,0,0,0,0
112213,0,0,0,0
112237,0,0,0,0
112377,0,1,0,0
114653,2,0,1,0
115711,0,0,0,0
115892,0,0,0,0
117276,0,2,2,0
117524,0,1,4,0
118001,2,0,0,0
118383,0,0,1,0
119918,0,0,0,0
122055,0,0,0,0
123114,0,0,0,0
123743,0,0,0,0
124564,0,0,0,0
124775,0,0,0,0
125366,0,0,0,0
125654,0,0,0,0
126928,0,0,0,0
127934,5,0,4,0
128020,0,0,0,0
128860,0,0,0,0
129130,0,0,0,0
131896,0,0,0,0
131974,1,0,0,0
133425,0,0,0,0
133994,0,0,0,0
134330,0,0,0,0
134806,0,0,0,0
134811,0,0,0,0
134987,0,1,0,0
135672,0,0,6,0
135791,0,0,0,0
135866,2,1,4,0
135938,2,0,0,0
135971,0,0,0,0
136260,0,0,0,0
137318,0,0,0,0
137482,0,0,0,0
138991,0,0,0,0
139607,0,0,0,0
142887,0,0,0,0
143259,0,0,0,0
143581,0,0,5,0
143983,0,0,0,0
144627,0,0,0,0
145336,0,0,9,0
146252,1,2,7,0
147817,0,0,0,0
147944,0,0,0,0
147973,0,0,0,0
148302,1,0,4,0
148722,0,0,0,0
150742,1,1,1,0
151967,0,0,0,0
152753,0,0,0,0
152780,0,3,0,0
153198,1,0,0,0
156030,0,0,0,0
157415,0,0,0,0
157502,0,0,0,0
158405,0,0,0,0
159194,0,0,27,0
159263,0,0,2,0
160329,0,0,0,0
160990,3,0,1,0
162136,0,0,0,0
162791,1,2,3,0
163108,0,0,0,0
163795,0,0,1,0
164366,0,0,0,0
165157,0,0,5,0
165870,0,0,0,0
166867,0,0,0,0
167987,0,0,0,0
168682,0,0,0,0
169554,0,0,2,0
169762,0,0,0,0
171169,0,0,0,0
171252,0,0,0,0
171623,0,0,0,0
171823,0,0,0,0
173071,0,0,0,0
173134,0,0,0,0
173340,0,0,0,0
173610,0,0,0,0
173781,0,0,0,0
173830,0,0,0,0
174065,1,0,6,0
174818,0,0,0,0
175302,0,0,1,0
175331,0,0,1,0
175431,0,0,0,0
175571,0,0,0,0
177565,0,0,0,0
180335,0,0,0,0
180469,0,0,1,0
181840,2,0,2,0
182097,0,0,0,0
183083,0,0,0,0
183090,0,0,0,0
183614,2,0,4,0
184424,0,0,0,0
184614,0,0,0,0
184794,0,15,0,4
185885,0,0,0,0
186996,0,5,5,0
187602,0,0,0,0
187711,0,1,0,0
187791,0,0,0,0
187813,0,0,0,0
188102,1,5,4,0
188354,0,0,0,0
188526,0,0,0,0
189952,0,0,0,0
191067,1,5,10,0
191365,0,0,0,0
192693,0,0,0,0
193209,0,0,0,0
193390,0,0,0,0
193847,0,0,1,0
194307,0,0,0,0
194376,0,0,0,0
194638,1,5,2,9
194741,1,0,2,0
194747,0,0,0,0
194761,2,21,2,10
194894,0,0,0,0
195291,9,22,2,15
196110,0,15,7,17
196349,0,0,0,0
196415,0,0,5,0
197206,0,0,2,0
198210,1,9,19,9
198492,0,0,2,0
198555,0,0,0,0
198709,0,0,0,0
198816,0,0,0,0
199503,0,2,1,0
200295,0,0,1,0
200351,0,0,0,0
200733,0,0,0,0
201412,0,0,2,1
201843,0,0,0,0
201944,0,0,0,0
202882,0,0,0,0
203380,0,0,0,0
203691,0,0,0,0
204133,0,0,0,0
204175,2,0,10,10
204472,0,0,0,0
205033,0,0,0,0
206082,1,0,0,10
206466,0,0,0,0
207383,0,0,12,0
208305,2,0,4,0
208498,0,0,0,0
208932,3,0,9,0
209115,0,0,0,0
209611,0,0,0,0
214075,0,0,0,0
214336,0,0,1,0
214338,0,0,0,0
215782,0,0,0,0
215815,0,0,0,0
216090,0,0,0,6
216372,0,0,0,0
217694,0,0,0,0
218240,0,0,0,0
218536,0,0,0,0
218776,0,0,0,0
218898,0,0,0,0
219111,0,1,0,0
219251,0,0,0,0
220311,0,0,0,1
220457,0,0,0,0
221324,0,0,7,15
221774,0,0,0,0
221795,0,0,0,0
222141,0,0,0,0
222434,0,0,0,0
222502,0,0,0,0
222976,0,0,2,0
223347,0,0,0,0
224131,0,0,0,0
225770,0,0,2,5
226607,1,0,6,0
227267,0,0,0,0
227881,0,0,0,0
228102,0,0,0,0
228193,0,0,0,0
228325,0,0,0,0
228498,0,0,0,0
228910,0,0,0,0
229682,0,0,0,0
229980,0,3,15,0
230236,0,0,0,0
230972,0,0,0,0
231217,0,0,0,0
233220,0,0,0,0
234449,0,0,0,0
234943,0,0,0,0
235170,1,0,1,1
235362,0,0,0,0
235410,0,2,0,0
235611,0,0,0,0
236458,0,0,0,0
236723,0,0,0,0
237323,1,1,9,0
237386,0,0,5,0
237637,0,0,0,0
237694,0,0,0,0
237987,0,0,0,0
238324,0,5,0,0
238326,0,0,2,0
238539,0,0,0,0
238914,0,0,0,0
239163,0,0,0,0
239299,0,7,0,0
239483,1,0,6,3
239681,0,0,0,0
239754,0,0,0,0
239959,0,0,0,0
240487,1,1,0,0
240527,0,0,0,0
241229,2,14,0,0
241520,3,0,2,0
241653,0,4,3,0
241694,0,5,1,0
242408,0,0,0,0
242874,0,0,0,0
243003,0,0,0,0
244045,0,0,0,0
245088,0,0,0,0
245873,1,4,9,0
246341,0,0,0,0
246489,0,0,0,0
246863,0,0,2,0
247673,1,0,0,0
247903,0,1,0,0
248029,0,4,18,0
248713,0,0,0,0
249738,0,0,0,0
250211,0,0,0,0
250218,1,12,0,0
250312,1,0,0,0
250346,0,2,0,3
250486,1,0,1,0
251208,0,0,0,0
251330,0,0,0,0
251396,10,53,21,0
251401,1,0,0,0
251760,0,0,0,0
251828,2,3,21,14
252595,1,0,0,0
252616,0,0,0,0
253052,1,0,0,0
253317,0,0,0,0
254043,1,0,0,0
254045,0,0,0,0
254152,0,0,0,0
254430,0,0,0,0
254446,1,1,0,0
254780,0,0,0,0
254792,0,0,0,0
255455,0,4,9,7
256261,0,0,0,0
256278,0,0,0,0
256356,0,0,0,0
256437,3,1,7,0
256539,0,0,0,0
257495,0,1,0,0
257920,0,0,0,0
257996,0,0,0,0
258303,0,0,0,0
258331,0,0,0,0
258496,0,0,0,0
259015,3,13,14,0
259549,0,0,0,0
259651,0,0,0,0
259727,0,0,0,0
260128,0,0,0,0
260208,0,0,3,0
260531,0,0,0,0
260544,0,0,0,0
261148,0,0,0,0
261476,0,0,0,0
261821,3,0,0,0
262614,0,0,0,0
263182,4,0,0,0
263296,0,0,0,0
264137,1,0,1,0
264818,1,0,13,0
265007,0,0,0,0
265305,0,0,0,0
265328,0,0,0,0
265396,0,0,0,0
266158,0,0,0,0
266312,0,0,0,0
266652,0,0,12,0
267130,0,0,0,0
268362,0,0,0,0
268568,1,0,2,0
268825,0,1,0,0
269925,0,0,1,0
270171,0,0,0,0
270265,0,0,0,0
270583,2,1,4,0
270847,9,0,27,20
271810,0,0,2,0
271865,0,0,1,0
272103,0,3,2,0
272160,0,0,0,0
272572,0,0,0,0
274241,1,0,27,15
274457,0,0,0,0
274462,0,0,0,0
274551,0,0,8,11
275171,0,0,2,13
275412,0,0,0,0
275448,0,0,0,0
275553,0,0,0,0
275714,0,0,0,0
275793,0,0,0,0
275863,0,0,0,0
276362,0,0,0,0
276486,0,0,0,0
276563,0,0,0,0
277371,0,1,0,0
277616,0,0,3,0
277693,3,0,17,0
277725,0,0,0,0
278340,0,0,31,0
278990,0,0,0,0
279078,0,0,0,0
279114,0,0,0,0
279357,0,0,0,0
279507,0,0,0,0
280179,0,8,9,0
280635,0,0,0,0
281312,0,0,0,0
281333,1,1,2,0
281832,0,0,0,2
281885,0,0,0,0
283993,0,0,1,0
285303,1,1,0,0
285715,0,0,0,0
285743,2,6,29,0
285935,0,0,0,0
286200,3,0,6,0
286249,1,0,7,0
286421,1,4,6,0
288078,0,0,0,0
288277,1,4,4,0
288348,0,0,0,0
288368,0,3,5,0
288426,0,0,0,0
288584,0,0,0,0
289157,0,0,0,0
289628,0,0,0,0
290039,0,0,18,0
290703,0,0,0,0
290885,1,0,0,1
292195,0,0,0,0
292374,1,0,12,0
292572,0,0,0,0
292686,0,0,0,0
292941,5,3,8,0
292974,5,4,10,0
293064,5,4,9,0
293161,0,0,0,0
293216,0,0,0,0
293458,0,0,0,0
293467,0,0,0,0
293752,0,0,0,0
293767,0,0,0,0
293796,0,2,0,0
293859,0,0,0,0
293885,0,0,0,0
