id,score,total_errors,popularity
44899821,-39,4,unpopular
32004289,-26,1,unpopular
35789790,-18,1,unpopular
29740271,-14,12,unpopular
48094354,-13,2,unpopular
36125228,-12,3,unpopular
26293730,-12,6,unpopular
27813252,-12,7,unpopular
30749894,-12,2,unpopular
31716697,-11,2,unpopular
32090337,-11,3,unpopular
30369253,-10,50,unpopular
39770361,-10,3,unpopular
38263188,-10,1,unpopular
47691772,-10,6,unpopular
14110382,-10,70,unpopular
38006145,-10,2,unpopular
19921219,-10,4,unpopular
18727552,-10,14,unpopular
24014441,-9,58,unpopular
39445972,-9,12,unpopular
43112528,-9,2,unpopular
34546685,-9,2,unpopular
19162089,-9,6,unpopular
46190064,-9,5,unpopular
28426211,-9,3,unpopular
30318350,-9,1,unpopular
14121694,-9,1,unpopular
46424017,-9,8,unpopular
24278443,-9,6,unpopular
39000451,-9,4,unpopular
46744265,-9,1,unpopular
42648064,-9,3,unpopular
14155956,-9,10,unpopular
43650475,-9,107,unpopular
24115090,-9,5,unpopular
36619816,-9,12,unpopular
45030565,-8,31,unpopular
48944562,-8,4,unpopular
30529174,-8,8,unpopular
45005482,-8,21,unpopular
30319545,-8,23,unpopular
7507393,-8,7,unpopular
47862724,-8,6,unpopular
14235498,-8,14,unpopular
12709465,-8,22,unpopular
40381163,-8,3,unpopular
36445201,-8,1,unpopular
50151153,-8,1,unpopular
43575114,-8,6,unpopular
45031742,-8,3,unpopular
51426515,-8,1,unpopular
11985497,-8,5,unpopular
39482773,-8,54,unpopular
15334774,-8,1,unpopular
20475597,-8,26,unpopular
32431651,-8,3,unpopular
23730740,-8,5,unpopular
39698476,-8,3,unpopular
17540088,-8,21,unpopular
42188728,-8,11,unpopular
48882304,-8,28,unpopular
31239180,-8,20,unpopular
22060001,-8,17,unpopular
45795941,-7,1,unpopular
30978466,-7,76,unpopular
42041309,-7,13,unpopular
41464327,-7,1,unpopular
43935154,-7,11,unpopular
33206655,-7,5,unpopular
23528550,-7,12,unpopular
31260034,-7,10,unpopular
42054730,-7,9,unpopular
51664069,-7,3,unpopular
45978101,-7,1,unpopular
52810010,-7,1,unpopular
34429678,-7,1,unpopular
52842388,-7,4,unpopular
47589976,-7,2,unpopular
38261077,-7,13,unpopular
44790142,-7,4,unpopular
33344529,-7,48,unpopular
45585215,-7,5,unpopular
47746699,-7,2,unpopular
44564273,-7,18,unpopular
43603806,-7,1,unpopular
24114530,-7,13,unpopular
47023835,-7,6,unpopular
35800087,-7,1,unpopular
39050706,-7,4,unpopular
47786191,-7,39,unpopular
25396293,-7,53,unpopular
24144663,-7,18,unpopular
41668022,-7,1,unpopular
28418966,-7,14,unpopular
15042342,-7,7,unpopular
14801382,-7,1,unpopular
49695717,-7,5,unpopular
46439999,-7,10,unpopular
47574350,-7,3,unpopular
32836847,-7,3,unpopular
31965940,-7,19,unpopular
32316971,-7,41,unpopular
49507834,-7,7,unpopular
47986709,-7,4,unpopular
33370550,-7,27,unpopular
19280766,-7,8,unpopular
37018206,-7,21,unpopular
39342529,-7,8,unpopular
24487067,-7,20,unpopular
38821697,-7,18,unpopular
24753715,-7,2,unpopular
40302044,-7,1,unpopular
38367609,-7,5,unpopular
44940685,-7,4,unpopular
45178852,-7,2,unpopular
