id,score,total_errors,popularity
648065,-3,15,unpopular
514769,-2,2,unpopular
735347,-2,1,unpopular
420700,-1,3,unpopular
491740,-1,2,unpopular
780950,-1,2,unpopular
1003725,-1,2,unpopular
1051166,-1,3,unpopular
1064005,-1,4,unpopular
950035,-1,2,unpopular
674456,-1,2,unpopular
26620,0,1,unpopular
68716,0,1,unpopular
111250,0,3,unpopular
216942,0,11,unpopular
225854,0,5,unpopular
235725,0,1,unpopular
265462,0,13,unpopular
274149,0,3,unpopular
292439,0,9,unpopular
298486,0,8,unpopular
311379,0,12,unpopular
313261,0,1,unpopular
318320,0,3,unpopular
351679,0,1,unpopular
354864,0,2,unpopular
355332,0,1,unpopular
381807,0,5,unpopular
398848,0,2,unpopular
410929,0,1,unpopular
413022,0,6,unpopular
414453,0,1,unpopular
417818,0,2,unpopular
418190,0,1,unpopular
420094,0,2,unpopular
426632,0,2,unpopular
428198,0,2,unpopular
431150,0,4,unpopular
431955,0,1,unpopular
438124,0,2,unpopular
438240,0,16,unpopular
443230,0,3,unpopular
444313,0,1,unpopular
449199,0,12,unpopular
457206,0,2,unpopular
459215,0,2,unpopular
460340,0,3,unpopular
460726,0,3,unpopular
463292,0,2,unpopular
463783,0,12,unpopular
468543,0,9,unpopular
485839,0,1,unpopular
497374,0,5,unpopular
506168,0,2,unpopular
509450,0,3,unpopular
509810,0,4,unpopular
511454,0,1,unpopular
512950,0,2,unpopular
513708,0,4,unpopular
516229,0,1,unpopular
518727,0,2,unpopular
524498,0,8,unpopular
525725,0,27,unpopular
526687,0,3,unpopular
529191,0,6,unpopular
529193,0,2,unpopular
529207,0,6,unpopular
543017,0,1,unpopular
548149,0,2,unpopular
550416,0,1,unpopular
551445,0,4,unpopular
553735,0,2,unpopular
553805,0,1,unpopular
554984,0,3,unpopular
557577,0,1,unpopular
560919,0,1,unpopular
569579,0,1,unpopular
569750,0,5,unpopular
570875,0,3,unpopular
572770,0,2,unpopular
573734,0,2,unpopular
577582,0,2,unpopular
580252,0,2,unpopular
583818,0,2,unpopular
585934,0,3,unpopular
587127,0,2,unpopular
715775,0,1,unpopular
715909,0,5,unpopular
719421,0,6,unpopular
723655,0,4,unpopular
726170,0,11,unpopular
727185,0,1,unpopular
727189,0,1,unpopular
731337,0,3,unpopular
736174,0,1,unpopular
736716,0,1,unpopular
737472,0,1,unpopular
741323,0,2,unpopular
745267,0,1,unpopular
746929,0,2,unpopular
748852,0,2,unpopular
758896,0,4,unpopular
774170,0,6,unpopular
777718,0,2,unpopular
781576,0,18,unpopular
784191,0,4,unpopular
788138,0,4,unpopular
790633,0,5,unpopular
792319,0,3,unpopular
801629,0,1,unpopular
803839,0,9,unpopular
806419,0,7,unpopular
808716,0,3,unpopular
822918,0,8,unpopular
823361,0,11,unpopular
832639,0,10,unpopular
833232,0,1,unpopular
836748,0,4,unpopular
836874,0,4,unpopular
836994,0,2,unpopular
977596,0,2,unpopular
979411,0,1,unpopular
979761,0,4,unpopular
984276,0,2,unpopular
987119,0,1,unpopular
987271,0,5,unpopular
988124,0,6,unpopular
991044,0,4,unpopular
997588,0,1,unpopular
1010173,0,1,unpopular
1014497,0,4,unpopular
1014582,0,2,unpopular
1016215,0,12,unpopular
1017424,0,1,unpopular
1018587,0,7,unpopular
1020245,0,14,unpopular
1033146,0,9,unpopular
