id,score,total_errors,popularity
857781,-5,1,unpopular
719170,-4,99,unpopular
511976,-4,10,unpopular
1113428,-4,2,unpopular
961235,-4,9,unpopular
482333,-4,3,unpopular
660972,-3,9,unpopular
878831,-3,8,unpopular
835126,-3,3,unpopular
553382,-3,13,unpopular
858110,-3,1,unpopular
413644,-3,6,unpopular
875359,-3,1,unpopular
478847,-3,2,unpopular
431992,-2,23,unpopular
667187,-2,3,unpopular
353832,-2,11,unpopular
372694,-2,2,unpopular
1070367,-2,16,unpopular
910286,-2,1,unpopular
596316,-2,24,unpopular
544365,-2,1,unpopular
1048568,-1,22,unpopular
773159,-1,3,unpopular
1105750,-1,1,unpopular
910777,-1,2,unpopular
967172,-1,13,unpopular
916822,-1,34,unpopular
696728,-1,7,unpopular
1082530,-1,8,unpopular
877459,-1,8,unpopular
317217,-1,2,unpopular
831303,-1,5,unpopular
430816,-1,10,unpopular
985022,-1,1,unpopular
665189,-1,1,unpopular
493622,-1,10,unpopular
887943,-1,1,unpopular
988671,-1,1,unpopular
939412,-1,2,unpopular
774012,-1,4,unpopular
729199,-1,1,unpopular
558986,-1,1,unpopular
613964,-1,4,unpopular
195291,-1,48,unpopular
201412,-1,3,unpopular
443098,-1,2,unpopular
617652,-1,9,unpopular
446869,-1,13,unpopular
902179,-1,2,unpopular
854004,-1,2,unpopular
626587,-1,1,unpopular
407313,-1,5,unpopular
1009176,-1,17,unpopular
261821,-1,3,unpopular
862432,-1,2,unpopular
913859,-1,6,unpopular
913061,-1,8,unpopular
1012748,-1,2,unpopular
863230,-1,4,unpopular
866313,-1,15,unpopular
420549,-1,6,unpopular
1014897,-1,2,unpopular
423832,-1,7,unpopular
1077152,-1,2,unpopular
426201,-1,5,unpopular
702073,-1,23,unpopular
474418,-1,2,unpopular
644206,-1,12,unpopular
1131499,-1,7,unpopular
709176,-1,9,unpopular
1135759,-1,137,unpopular
1138341,-1,8,unpopular
484367,-1,5,unpopular
1099018,0,4,unpopular
995779,0,2,unpopular
864102,0,1,unpopular
979324,0,2,unpopular
1033949,0,15,unpopular
980286,0,4,unpopular
