id,n_lines
347,2
1344,4
3272,32
4041,28
4041,8
4041,11
6435,12
6786,10
8770,40
8846,77
8846,9
12271,5
12271,7
14224,3
14436,15
15090,9
18156,39
18156,75
18156,7
19433,6
25018,6
25617,3
25780,20
25880,18
26620,19
32782,7
36896,6
40857,17
41310,37
45581,2
45581,4
45698,11
46610,10
48812,17
48862,3
49054,47
50487,26
51698,15
52125,2
56411,5
56411,6
56411,10
58389,9
58425,4
58498,18
58498,11
59240,10
59240,5
60479,7
63623,2
64974,33
65867,3
67277,4
67569,5
68139,2
68623,7
68716,15
70503,9
70610,27
71242,2
71441,4
72039,13
72047,7
72094,38
72972,24
73240,6
73542,4
74316,3
74316,11
74350,39
76035,8
76082,11
76143,19
77617,6
79717,12
80018,4
80340,45
82827,32
84248,21
84523,16
84523,3
85204,5
85272,7
86057,13
89381,3
94894,3
96208,4
97590,17
97879,5
98553,5
98553,3
102226,6
102636,3
104052,4
104078,2
109526,2
109677,5
111250,3
111449,3
111449,7
111845,4
113012,12
114874,13
115226,3
117121,20
117291,14
119098,8
119974,20
119974,2
120287,24
122065,7
124965,3
125027,9
125027,5
130813,8
134000,30
134992,16
136478,7
137319,3
141903,23
142920,4
144004,22
146184,6
146266,11
146462,3
149503,16
149503,4
149842,5
149962,2
149962,4
150936,22
152120,3
152120,3
152966,20
153936,9
156255,3
157532,30
157644,16
159144,8
161065,14
162217,414
162443,3
164589,6
164678,2
165588,10
165588,9
166869,10
167947,6
167947,4
168696,24
170161,11
171186,4
171186,17
171562,144
171631,4
171856,9
171856,9
172234,4
173074,14
173878,2
173878,4
174519,3
181747,6
184428,7
185994,2
187522,11
187725,26
187877,8
187937,23
188174,5
189760,21
190078,5
190259,12
190787,12
192242,11
193219,16
193858,13
194626,13
194626,7
195131,5
196360,9
196363,20
196585,11
196755,4
198539,2
198589,14
202158,3
202158,3
205030,11
205879,31
206644,16
207928,9
207973,2
208506,15
209619,29
209620,29
210060,2
213222,6
213757,5
213768,7
214179,2
214209,3
215047,5
215661,51
216057,8
216468,15
216741,72
216942,13
217716,10
218133,2
218216,17
218267,4
218276,3
219120,7
219193,6
220100,117
221824,40
221824,7
222096,11
222154,3
222386,163
223004,21
223756,2
225854,7
225992,13
225992,7
227885,80
227900,4
228112,6
228112,7
228510,4
229675,2
229925,10
231538,5
232249,3
232609,11
232609,13
235725,5
235747,7
236250,3
236743,20
238327,23
239175,13
240610,5
240800,4
241648,10
241668,6
242409,12
242600,4
243543,5
246109,56
246350,3
246502,15
246513,88
247318,9
248282,5
248282,22
250288,38
250368,2
250603,10
252013,31
252021,49
252854,4
254235,5
254333,9
254611,37
255494,30
256013,96
256014,97
256209,10
256442,26
256442,13
256735,5
257558,2
257615,28
257929,4
257937,3
257957,12
258129,2
258129,5
258914,10
259330,19
259330,10
259590,2
259662,11
260032,4
260032,17
260404,6
260545,4
260545,5
260586,16
261308,5
261568,2
261797,5
262420,14
262617,4
262838,20
263071,8
264032,14
264145,5
264998,8
264998,5
265462,21
265462,15
266176,3
266389,14
267196,9
267863,9
270030,29
270405,18
270701,2
271812,8
272997,2
272997,20
273523,4
274149,13
274289,5
274566,5
275206,3
275326,3
275692,16
275867,30
275955,6
276288,10
277618,5
277618,5
278920,5
279084,3
280180,39
284343,35
285882,29
286431,32
288146,14
288146,3
288489,4
289596,17
289625,5
289625,4
289645,14
289997,2
289997,26
290407,4
292398,7
292430,9
292439,30
292793,29
293908,10
294151,9
294402,16
294404,5
294521,26
294527,10
294760,28
294760,11
294769,25
294801,10
296185,9
298166,6
298166,6
298486,11
298486,12
298713,2
298788,9
299436,2
300140,3
300538,20
302066,3
302490,8
303021,13
303233,17
303597,9
303927,33
304545,118
305599,2
305632,10
306254,23
306256,11
306382,18
306547,25
307070,2
307760,3
307868,17
308792,8
309317,12
309317,14
310543,2
310722,38
311379,48
311379,76
311379,41
311429,4
311864,8
311864,2
311864,7
311902,2
312345,4
312560,10
313205,6
313261,4
313261,50
313560,19
314579,4
314792,21
315136,25
315166,8
316136,85
316136,2
316136,5
316268,21
317055,9
317055,7
317102,13
317106,13
317221,5
317709,15
317886,4
318320,4
318470,3
318919,2
319481,3
320278,30
321497,3
321507,5
321544,14
322371,7
322734,12
322734,4
322821,3
323287,2
323686,11
323745,6
324224,24
325415,11
325461,2
325733,31
327167,7
327599,9
328236,6
328649,18
328965,4
329023,17
329301,56
330920,8
331211,2
332240,11
332240,2
332576,33
332677,40
332819,5
333917,13
336051,14
336669,27
338195,7
338195,11
338303,34
349040,54
349621,13
350147,4
351679,7
351690,3
351903,13
352358,2
353467,9
353552,8
353555,50
353555,6
353648,10
354216,17
354426,26
354426,18
354864,8
355332,6
356180,3
356246,14
356257,37
356497,3
356497,21
357797,15
359234,10
360263,3
361049,18
362088,5
362289,34
362294,5
362350,4
362618,15
362779,7
362853,2
362883,4
362883,13
362916,12
363153,3
363708,5
363838,4
364761,15
364901,9
365085,40
365375,7
365799,15
366010,10
366377,28
366508,3
366555,42
366555,3
367555,6
367668,6
367999,13
368152,35
368153,10
368465,3
368627,86
368627,38
368831,25
369126,12
369547,3
369737,34
369866,4
369872,30
371589,2
371893,5
371909,11
373124,29
373326,27
375024,6
375024,3
376195,2
377307,3
377516,7
377516,4
378014,20
378929,2
380522,5
380522,7
380666,17
380666,37
381807,12
382163,14
382264,7
382756,10
383013,16
383013,7
383015,2
383618,6
383618,5
383618,7
384098,39
384098,32
384110,7
384401,16
384570,15
384570,19
384628,10
384648,8
384974,2
385469,20
385814,15
386032,11
386253,11
387161,5
387316,6
387348,4
387414,5
388614,2
390126,36
390814,3
390814,5
391070,5
391214,24
391891,2
391902,20
392210,5
393170,3
393654,14
395790,13
396012,12
396047,27
396050,15
396050,31
396109,21
396109,2
396167,12
396550,2
396703,3
396722,4
396722,63
397333,3
397840,6
397847,22
397943,8
398848,10
398874,28
398940,3
400117,4
400350,4
400575,7
400603,5
400834,16
401053,4
401053,3
401213,11
401213,20
401221,20
402220,5
402769,20
403222,7
403301,9
403303,11
403733,2
404463,2
404613,9
404613,8
404613,9
405416,5
406509,36
407290,26
408576,4
410397,31
410778,35
410929,14
411377,3
411382,26
411382,2
411401,10
411880,4
412002,12
413022,16
413047,13
413063,4
413063,4
413195,7
413195,2
413195,9
413224,9
413225,16
413405,14
413405,3
413529,4
413529,13
413529,9
413529,8
413739,16
413884,6
414012,3
414139,6
414195,28
414302,31
414329,90
414453,13
414705,77
414713,18
414870,8
414870,10
414996,11
415291,28
415331,19
415440,3
415484,24
415637,2
415671,6
415708,8
415711,6
415713,22
415862,2
415862,2
415983,6
416316,13
416442,3
416442,5
416476,5
416496,17
416621,10
416692,22
416772,62
416808,31
416808,11
416866,5
417133,43
417133,23
417133,105
417549,6
417684,6
417696,160
417818,15
417920,9
417920,5
