id,n_lines
879859,5
716879,58
828996,22
829236,24
1088681,29
1090461,7
1043415,8
660985,7
1091417,7
883151,22
1092143,7
1045207,147
1045207,131
1045207,32
1092764,11
769807,7
986675,8
1094994,17
1095369,4
988187,14
938826,4
1048871,17
1095960,32
1095960,57
939294,2
725967,27
609657,2
889651,13
942082,14
942316,6
840952,6
840952,7
841176,7
1099018,2
891420,24
776400,2
776400,15
729777,69
729804,2
1054083,3
672221,6
731578,10
1102381,7
894405,64
995148,5
732462,4
995779,5
995779,5
845302,11
895692,7
1056367,12
845884,3
1056935,7
616818,36
616917,37
1104789,5
897180,14
735070,9
735070,2
735070,21
735094,3
1105686,5
898665,4
1059048,3
950328,5
950328,5
848966,2
1000690,8
951829,13
951829,4
1108298,15
900915,3
952542,6
1108974,7
1002693,7
1002693,7
1110170,2
853677,9
853677,4
741422,36
741422,11
853559,11
624720,16
1064663,12
1064878,27
1111813,6
905147,2
856528,9
790913,5
856802,2
1113240,29
1068887,35
1116068,12
961621,35
911556,7
1011035,7
1011035,12
963266,2
1118780,2
912443,3
912443,3
631979,5
1119160,16
1119833,3
913978,24
1072918,3
691851,3
864102,25
1013500,7
1120937,84
1121061,25
692931,11
1074359,4
1121293,5
1121293,5
634679,15
916079,8
916514,33
967516,48
753354,8
1123721,5
1123822,9
1016921,6
868474,7
1077612,2
1124699,38
1124989,21
698391,12
698391,15
970771,6
756568,16
1079255,8
1079255,8
1079273,4
1080405,10
972660,8
701047,3
758674,20
1127926,60
1128542,5
1081419,16
873390,34
808392,41
874074,3
874280,4
874280,7
977007,9
977007,14
704532,40
1131163,99
811385,32
645882,11
1085375,17
979324,66
706830,4
1085796,22
1133107,5
1086701,14
878527,79
1137159,3
1137159,9
1137401,11
539814,6
1139051,7
1033949,81
714409,30
1140752,10
657150,4
1141194,53
657035,9
657035,9
716218,59
1141388,4
1141846,3
1141846,10
1037852,12
1037852,16
1143762,43
1145080,4
1146200,16
1146200,2
980286,47
980322,59
980322,80
980322,44
980322,29
980322,56
657994,24
600084,2
1088527,11
484936,26
930933,3
931022,7
931022,15
658193,62
717332,22
829545,12
658519,7
829809,57
981080,26
981217,195
981217,50
981217,20
765881,16
765881,17
717838,4
717838,4
766172,11
427925,4
718033,7
601449,33
718478,9
428466,12
428466,46
428466,23
1042438,23
819090,26
486730,24
428954,4
428954,3
719052,11
719052,8
767148,127
932971,79
932986,5
932986,2
719304,5
933232,9
933343,9
933343,9
933375,16
933375,15
660404,47
548298,27
933311,12
831660,38
767887,26
719758,18
983145,26
983145,38
767608,38
933730,81
933730,41
933730,18
720035,26
660972,71
768361,34
768361,34
720352,38
934231,37
934231,9
1091806,26
934316,33
983910,20
1044559,7
549734,8
1044887,2
935135,139
662155,6
662155,163
662155,11
662155,51
833552,112
833552,84
550282,73
721418,8
721418,2
489328,26
769287,55
833839,103
604973,31
833871,84
431992,9
431992,57
1092896,5
834425,68
1093423,5
1093423,4
1093423,4
1093423,19
663339,17
722612,78
722612,34
985846,46
1046384,35
1046384,86
1046443,35
1046443,86
1046443,21
605923,12
605943,18
722761,34
986024,57
986024,28
986024,15
986024,23
490602,9
490602,3
835221,26
936808,13
936808,19
936808,60
1094149,129
723233,12
723233,9
936831,14
937331,53
937331,23
433510,34
664473,23
664473,18
835878,12
433864,16
664605,17
664605,18
664605,7
552503,3
1047499,34
1047499,28
1047499,46
771528,53
664751,18
664751,6
664754,31
434038,13
771625,7
491429,47
771710,74
724278,11
724278,14
987475,36
1048282,28
1048282,59
988087,49
836933,149
1048568,31
1048568,52
1048568,76
1048568,25
493387,2
435141,9
493692,47
553799,7
553799,25
1095923,2
725253,7
725253,18
725253,10
887861,53
725476,3
725485,83
494099,4
494099,30
494136,37
773147,3
773159,11
939451,86
725691,6
725691,5
838188,42
888431,95
608954,11
494510,36
494541,36
1049597,19
666836,34
726124,4
773893,31
667405,159
667732,32
726841,31
839098,5
889521,2
889610,105
839494,11
839494,21
556008,7
940952,59
940952,63
940952,90
940952,62
839306,35
774655,27
940988,67
727387,6
727464,78
610345,142
668185,44
1051315,67
1051315,31
1051315,49
1051315,79
611082,4
840544,10
890816,9
890816,3
1051810,8
840893,31
776047,79
840633,30
1098966,3
669818,7
1052256,14
776351,62
776351,3
611986,18
612015,4
612015,27
669919,22
669919,5
669919,31
891757,5
612198,70
776800,29
354613,10
670279,37
729639,89
729674,117
943218,216
943218,176
943218,60
558211,20
558211,59
943291,18
943291,48
943291,65
776906,2
842214,32
729743,35
729743,16
1053369,5
671038,49
498460,28
993476,7
777805,72
777805,10
1100553,62
1100566,67
498820,2
671602,65
671602,44
671602,10
843178,2
843178,50
499035,31
499035,37
843276,28
671731,24
671731,43
1054364,2
778456,72
778456,10
671922,3
778768,9
894042,15
894209,7
844045,35
844045,18
844045,12
844045,37
614577,30
672521,36
672521,40
1054762,114
779086,24
779086,10
779086,21
499926,46
844169,47
844169,3
844169,31
1055140,21
1055140,67
779556,51
779729,76
779911,47
673263,23
673263,32
673263,7
844940,40
732763,2
444125,37
780020,57
561360,40
615607,64
615607,93
615607,44
1103443,123
1103443,94
895364,8
1103572,2
614169,466
845467,29
946976,93
1103763,6
1056419,56
1104060,79
1103960,60
1056738,43
1056738,20
616210,156
616210,163
733731,47
674183,19
947604,23
947604,33
673967,5
673967,5
781094,33
781094,29
674490,14
674490,15
616798,29
445367,9
1104763,7
674442,75
674591,30
371906,11
781585,91
781585,144
896934,7
896998,6
674897,17
502747,2
1104896,75
1104896,36
1105108,34
847104,67
847104,24
847104,42
782269,21
782269,11
782269,25
782304,37
847370,73
847370,36
1105750,42
782640,38
847791,4
847791,4
847650,8
782447,15
563907,3
503967,35
848135,29
848135,42
848135,86
898622,11
898622,8
736106,26
848416,13
848434,18
736379,10
736379,2
504967,44
848916,45
848920,63
848922,5
848922,37
848922,54
736620,6
736620,6
999749,13
999749,9
677088,14
677088,8
849125,77
1000073,49
999989,55
999989,54
784181,21
784181,32
784507,70
784507,173
849369,7
849369,6
737141,28
784597,2
784597,24
784597,7
677656,14
677656,25
849696,222
849715,19
677770,34
620690,6
620690,7
620690,12
383001,63
784889,61
1107969,63
678050,26
