id,n_lines
49008996,5
59215176,4
34511425,3
62001662,12
52306830,12
54727929,2
53552589,3
49532990,4
54626743,15
50059327,39
44575078,10
50034576,4
55691551,2
55691551,2
53524077,4
50240351,21
59209799,11
54680605,7
57507931,6
55841557,9
55841557,7
60342434,21
54572542,18
57464171,8
31941106,3
56305376,15
47591896,17
55235021,8
8302847,4
40342006,12
40342006,4
25497757,3
61875883,41
58537735,2
44668121,5
47628106,16
58011034,7
49107115,13
49107115,42
49107115,24
49107115,2
58805139,18
58805139,15
52589414,6
47706264,11
53756675,5
61337296,29
52829744,29
60978387,11
55856735,11
54878075,17
54929881,3
15170835,2
59057096,23
44970158,10
44970158,11
45774461,8
55645059,2
48489319,3
21734832,2
44942369,10
61772101,21
58442442,2
53532880,4
53532880,4
53532880,4
45380675,8
53576586,3
42949396,4
42949396,4
38371810,3
46562374,3
53635292,4
53635292,6
58734621,18
45620634,51
60406967,5
37830182,2
44586951,4
2019002,3
36329397,8
54626904,9
20925435,6
33152885,12
54311776,8
61043475,7
52269626,8
25969083,4
57705391,6
52391911,7
24573846,4
59545341,5
42793215,14
37461189,15
26070883,3
41595652,4
61918259,6
45068597,4
53535406,3
54508929,4
58876673,7
45020813,3
52548816,2
52548816,3
48466506,11
40486833,5
28029731,11
57414559,4
48693010,3
50768598,3
60500208,19
54431374,28
61534153,3
56842677,4
56842677,6
48188102,8
54346708,7
33515737,9
55525656,18
46904149,3
56075671,6
55060912,12
55060912,13
46298944,6
59437142,23
35901491,2
44503639,11
50412439,13
46915505,8
61078890,12
57709602,41
56727211,7
40494466,8
48050490,9
51158032,14
27921903,8
53249817,5
19159279,3
45728207,34
17044746,21
45794062,3
44083103,10
46686156,14
46686156,10
61070322,6
61070322,7
56938722,3
60129495,12
53293617,20
44316473,4
34376208,2
46984583,6
53312792,4
61214795,3
2905245,2
50430077,9
49052696,3
59152712,33
59152712,21
53370291,3
58819016,10
56450704,9
56450704,8
60476088,21
10212964,3
53239633,6
53553503,3
49596827,5
34705401,6
45577154,4
51493278,14
61030048,18
16103836,4
49531915,2
37409126,4
36076888,3
46924125,10
46731648,9
57165014,3
59096637,15
59096637,6
43270576,5
51800838,9
53194433,5
61369206,4
58267910,3
36148199,13
50522974,5
44587574,3
60239106,32
58493510,47
60210474,10
34625667,3
59801785,10
44858132,29
51405172,10
53986525,11
48411925,2
50362743,4
47239712,28
50691007,5
41375970,9
57060401,45
57060401,3
47669404,16
54224746,14
59674840,9
59674840,7
59674840,7
57116465,6
49542066,12
55685396,4
45778846,3
60845028,10
57127847,19
52294451,17
