id,n_lines
290898,5
290900,5
321924,9
329361,5
383618,7
414329,10
423720,3
424891,3
453171,6
461433,15
463812,16
470598,2
474370,19
474370,19
500824,7
507411,3
512249,6
512881,5
521470,13
522797,7
537164,7
541540,5
545170,3
548438,9
548438,9
549431,12
568512,6
583335,3
583800,9
714485,25
714943,9
714943,2
716900,19
716900,43
720557,14
721134,11
729995,16
734516,5
734595,23
734595,35
735072,6
745120,5
750094,8
759764,3
762207,7
762602,5
764510,3
783720,2
784946,8
784966,10
785952,3
797083,3
809909,39
811256,3
815457,21
815780,8
823199,11
825919,9
833508,7
833508,7
979913,5
982013,6
982127,2
990756,7
998027,5
998027,5
998027,7
998836,3
1001746,9
1002836,16
1004179,5
1006320,22
1007788,19
1007788,25
1008516,44
1008619,13
1008804,11
1009585,5
1009750,6
1016135,9
1016538,28
1016943,22
1024252,2
1032121,23
1035278,4
1042566,32
1046307,3
1048063,13
1055718,9
1059415,51
1060376,5
1062585,12
1066300,14
851032,4
857802,3
864407,5
864451,2
869373,4
871130,11
874742,10
881169,5
882820,4
884003,5
884828,8
891389,11
892483,7
894714,2
902534,11
905282,3
919977,12
934449,6
939312,18
948849,3
951862,2
952220,15
959401,6
959401,16
959401,3
959401,13
961749,5
612492,3
619731,7
625622,22
634044,3
640897,17
646278,7
661044,11
661594,8
662394,3
666605,2
666823,7
666825,6
668445,8
672229,5
680800,5
682477,3
1074829,11
1079061,9
1079061,3
1079470,3
1080859,9
1082039,9
1082861,8
1083953,3
1086714,6
1089864,26
1089864,8
1091723,9
1092725,8
1093097,43
1094138,2
1095305,13
1104041,13
1104041,3
1109672,15
1130603,4
1132524,39
1135873,2
1140179,5
1141166,28
1141854,5
1141854,11
1142475,20
1143109,34
1143109,30
1145111,6
1145111,6
1145111,7
694006,5
703183,5
704219,8
708764,21
290898,5
290900,5
321924,9
329361,5
383618,7
414329,10
423720,3
424891,3
453171,6
461433,15
463812,16
470598,2
474370,19
474370,19
500824,7
507411,3
512249,6
512881,5
521470,13
522797,7
537164,7
541540,5
545170,3
548438,9
548438,9
549431,12
568512,6
583335,3
583800,9
714485,25
714943,9
714943,2
716900,19
716900,43
720557,14
721134,11
729995,16
734516,5
734595,23
734595,35
735072,6
745120,5
750094,8
759764,3
762207,7
762602,5
764510,3
783720,2
784946,8
784966,10
785952,3
797083,3
809909,39
811256,3
815457,21
815780,8
823199,11
825919,9
833508,7
833508,7
979913,5
982013,6
982127,2
990756,7
998027,5
998027,5
998027,7
998836,3
1001746,9
1002836,16
1004179,5
1006320,22
1007788,19
1007788,25
1008516,44
1008619,13
1008804,11
1009585,5
1009750,6
1016135,9
1016538,28
1016943,22
1024252,2
1032121,23
1035278,4
1042566,32
1046307,3
1048063,13
1055718,9
1059415,51
1060376,5
1062585,12
1066300,14
851032,4
857802,3
864407,5
864451,2
869373,4
871130,11
874742,10
881169,5
882820,4
884003,5
884828,8
891389,11
892483,7
894714,2
902534,11
905282,3
919977,12
934449,6
939312,18
948849,3
951862,2
952220,15
959401,6
959401,16
959401,3
959401,13
961749,5
612492,3
619731,7
625622,22
634044,3
640897,17
646278,7
661044,11
661594,8
662394,3
666605,2
666823,7
666825,6
668445,8
672229,5
680800,5
682477,3
1074829,11
1079061,9
1079061,3
1079470,3
1080859,9
1082039,9
1082861,8
1083953,3
1086714,6
1089864,26
1089864,8
1091723,9
1092725,8
1093097,43
1094138,2
1095305,13
1104041,13
1104041,3
1109672,15
1130603,4
1132524,39
1135873,2
1140179,5
1141166,28
1141854,5
1141854,11
1142475,20
1143109,34
1143109,30
1145111,6
1145111,6
1145111,7
694006,5
703183,5
704219,8
708764,21
