id,n_lines
59078359,50
48021855,26
52586020,25
53516204,14
48391902,17
48391902,18
51661662,29
59594671,15
58825330,35
58651745,3
58651745,14
48360137,21
60155439,3
8078654,10
49203559,10
49203559,68
52504751,22
52504751,23
48656665,17
60919596,20
60919596,7
57720363,39
43322450,39
59948411,25
54014199,10
54226980,24
54541839,3
54541839,3
45231191,32
45231191,10
61115042,32
45157567,15
42065482,39
58804779,29
60043247,3
60043247,26
23158002,2
45259370,2
55206664,41
55206664,8
51215708,10
56061646,34
50630546,26
54851640,23
47016853,15
45186347,32
57021245,25
33500521,8
22202491,5
59484721,2
59484721,4
54904538,7
48404028,14
48404028,12
55581556,12
61556611,4
54523558,23
40519921,3
49608813,70
31664024,7
61992542,15
52823749,26
49357628,27
46887067,3
35922762,20
44330452,40
12262769,31
48673994,2
54273316,3
54273316,16
48243933,27
56901680,11
56901680,15
59994463,16
46978300,7
44894678,25
57077301,4
33201142,7
47047233,6
56416280,4
47442124,23
61039032,7
61039032,7
61039032,7
54359768,2
55318204,8
55318204,4
55318204,20
56133366,10
49646103,30
58794519,21
60611166,27
25026030,4
25026030,8
60480256,7
56722248,19
60154058,7
52119332,15
61861313,11
53205937,13
40078479,4
59851940,2
59414452,29
61827049,17
60463621,4
60394914,23
58049150,13
52486636,15
37809128,13
35789150,19
38677942,7
38677942,6
38677942,12
54077592,13
57654598,33
58184285,31
55366631,3
36867298,5
59369079,9
59369079,10
60369405,41
60369405,27
6448107,7
46819634,13
60263584,25
40331392,16
53320325,30
60819012,30
57837813,24
57409310,19
36725410,22
52227061,35
37516736,5
60194596,7
37225960,8
37225960,12
34541844,23
61788014,38
50716721,33
32474981,23
13465938,10
37105372,8
58195496,7
60088522,15
51265904,10
51265904,3
46665621,21
61760143,11
36819719,23
36230047,25
16448217,7
36027664,15
29026172,12
29026172,49
60289992,15
48364278,22
48364278,7
48364278,7
54727234,9
54727234,55
18753329,24
54522606,5
7782383,9
33040310,19
55441428,14
51370443,3
44749516,30
44749516,24
44749516,9
58440901,9
61182753,15
61452855,31
59234698,32
24594431,8
45673979,2
45673979,2
45158696,4
42867332,33
47670183,5
31539610,58
55532537,3
47715286,8
56441084,3
53972096,9
53972096,13
53932195,29
54037760,25
35007212,45
29185092,12
60408393,56
56543389,2
60568620,8
60568620,20
36960627,7
47763330,50
60572525,5
54914735,6
54941916,32
44053073,24
50353252,9
58049862,19
52530111,35
51195242,3
20733810,5
59577137,7
49551851,27
61135189,13
61135189,4
60553575,18
49628103,10
59253634,27
31262969,7
18669688,12
60987801,30
55215378,28
55215378,49
58942489,11
54463690,36
32867144,20
52834661,32
58076785,22
50071663,30
58582356,5
44082642,9
44082642,30
44082642,3
61421732,54
57337595,27
57337595,27
57337595,13
57337595,14
57337595,2
58438859,57
48056989,22
56003736,51
36491390,2
54763387,24
59097841,41
59097841,12
35479289,43
35479289,10
60096397,7
60312835,9
61985506,6
62050648,4
62050648,7
25383258,5
55742926,16
60811294,18
56422249,12
56422249,3
19850282,7
61984875,31
52221078,26
35179157,2
61927047,7
52278346,15
55760289,21
55760289,24
55760289,11
61612531,6
50157741,20
52991705,24
30660814,15
60057528,10
50679576,27
17638834,14
46399513,73
39126470,10
24309631,16
40715397,23
61274678,29
55563593,23
28500024,25
61560122,46
44772515,10
61219277,4
61219277,5
47727097,30
20734737,3
58848973,3
56864193,20
51105800,42
48056148,11
60363574,2
58063702,9
57132940,8
61388621,2
61388621,46
61540673,13
54973380,46
52214835,13
36561044,5
59658434,11
45064794,8
55449354,5
54429063,20
38084547,22
59861177,5
36277175,60
61796265,4
61820291,18
9309325,7
55589042,35
58125686,15
58125686,16
28376811,48
38206861,15
53973215,27
58690514,22
58690514,77
47301769,35
46263187,51
46093364,2
46093364,3
60050680,12
60050680,17
56988188,3
56988188,9
56988188,48
43720186,24
56744792,32
59841089,7
57195785,16
61385565,33
47577982,44
57232583,84
56708664,20
56022721,24
56022721,11
36162570,13
53748196,10
30025223,9
50738309,27
46794242,4
52023735,4
38845928,14
26252743,25
26252743,13
31473073,8
35364180,23
61589785,52
57520469,10
60324176,59
39512829,21
39512829,39
30917949,9
29628067,19
47760823,27
43146406,11
43146406,11
58785335,34
58785335,16
34638494,13
10666268,4
61172363,5
51208909,22
49527447,27
18827470,10
46400404,35
50629304,50
50629304,3
57263236,23
60842831,26
58308082,38
60720748,31
60720748,12
58652647,14
35392837,27
60795233,12
54568460,9
33883159,3
36665979,53
36665979,39
36665979,24
36665979,40
52404982,27
55758320,20
58275459,6
16754428,12
55438537,19
55438537,12
57788493,29
48623734,39
48329438,34
48329438,23
52002186,54
53865824,26
37503014,23
59622372,32
54628058,36
58195250,9
40521686,19
57928227,6
57227287,21
51880051,3
51868577,6
25582748,19
31398081,6
18019007,10
35281495,12
53010770,36
58297275,13
26360454,9
58464362,10
58037484,11
14686822,6
48036505,46
48036505,35
49634829,47
53664063,11
47435023,10
48437888,30
59007591,31
46933804,26
47220118,17
56097974,23
56580593,2
52235908,13
47760567,27
33405012,25
50983824,8
51712775,24
41880195,6
49560920,15
60142311,36
45838173,40
59868523,11
52897834,6
48973775,24
8090441,6
48381155,3
32691920,74
53520613,28
27875070,48
52544038,45
48850266,4
61478687,10
51807777,25
33056889,7
53486094,30
53486094,48
52178082,21
56760778,28
48853749,7
48853749,7
54147277,26
59261400,17
33937965,5
60949376,17
49669601,26
55332268,18
54661758,29
42159274,15
35220334,4
60765432,27
44542058,5
54769574,5
54769574,7
59171257,2
59171257,2
16723676,3
25001379,11
56454564,25
22583020,6
45593146,27
61608801,41
48590613,28
52954826,26
23370412,27
35470334,30
35470334,82
56974424,2
60251133,10
40304509,19
55371401,16
55371401,14
52175442,59
34563326,7
33145185,20
54048921,14
57245730,26
57245730,9
36740867,7
58922836,5
29581771,21
29581771,2
55353251,4
51383350,8
43918484,13
54389091,11
57305219,33
52025220,5
45585102,8
