id,n_lines
1088231,44
716879,29
716879,60
717002,9
980518,23
1089079,3
880492,23
1089355,8
1042007,18
1042007,29
881162,31
982524,4
882216,25
1043131,28
719737,64
661087,8
720249,30
1044243,11
721142,6
1092694,24
884752,32
884752,5
834367,17
986187,17
722922,27
886685,2
886685,8
886685,8
1094835,51
665120,11
1095272,21
1048041,6
772562,4
888138,8
725967,34
725967,5
888494,12
888494,2
888531,39
939878,5
888720,4
889651,15
990845,5
991071,16
611568,76
611568,19
942316,13
942316,32
942316,2
728780,19
728780,5
891420,9
1052288,6
891593,15
891593,6
729221,27
729221,84
670104,4
841877,4
729777,4
842218,13
730349,3
730349,6
730432,36
944171,6
778306,20
893573,6
893573,7
944683,67
945361,8
894540,11
995148,16
995148,43
1055428,36
844942,11
995779,6
1056107,24
895902,10
674243,12
781343,2
781343,6
734424,6
948456,47
998158,8
998748,16
898513,16
898665,48
1059048,10
1059378,13
783712,21
1059516,12
1059516,8
848966,2
1000317,35
1060320,8
737380,19
951529,47
1000690,4
951860,44
737866,15
737866,7
1108298,24
952173,48
952375,4
850992,15
902138,29
1002174,43
1002174,33
1062561,3
1062578,10
1110181,9
903875,25
1004340,17
1004586,8
905147,7
742438,8
790913,4
856802,9
857144,35
958413,5
744367,2
857859,21
857859,7
858095,26
959364,11
792669,26
1008038,28
1008613,8
515359,7
961621,37
961621,3
1117761,20
861212,17
1118067,6
1119160,33
1119103,4
749495,28
797070,22
797070,13
797070,3
797070,41
964250,2
691446,8
1119845,7
797735,34
1072971,3
1120195,16
1120232,7
1013350,21
1120833,20
1120833,30
1120833,27
965845,5
965845,5
1121061,11
1074087,5
1074087,6
751593,20
1074359,3
1121625,19
1122037,30
1122310,8
1075540,12
967516,7
1123121,19
1076563,9
1123753,9
1123822,41
1016822,16
1124082,17
969222,9
1124378,27
868477,6
1017409,9
969673,18
1077960,24
757854,5
757854,21
757854,5
757854,14
972660,32
1020436,13
701047,3
807136,12
924197,28
1128355,22
974554,20
1021699,34
925009,26
808491,6
808392,36
808935,4
1082631,3
1082631,2
1083021,3
927447,3
811385,14
876938,37
646269,25
1132517,9
979324,9
706830,15
1085796,13
1085796,35
764686,46
764686,24
479248,56
1135391,10
1135722,68
1029994,3
1136082,2
815685,12
815685,21
1137922,3
1137922,7
655393,4
1140031,11
1035826,6
716218,22
821142,17
1141376,2
1142618,11
823301,71
823787,54
828506,33
1146408,29
765881,28
1042453,17
767887,28
720035,27
767910,30
1091806,35
1093423,29
1093423,39
491265,22
1048292,37
840633,27
497334,58
561360,23
896032,26
896032,36
616798,23
948140,6
504181,8
785890,27
785890,31
622978,23
1063577,18
1004196,16
744119,29
746388,27
746388,26
860804,2
1070486,28
1118454,3
798026,27
798026,30
1014101,55
1014101,55
1014101,55
801397,28
801397,28
755410,24
1078549,26
870662,16
1126925,36
529614,21
1024522,31
977539,2
1083957,19
648998,27
651215,24
816527,63
1031668,26
1140218,40
1036175,38
1037875,25
312733,27
1041664,23
717963,74
766512,29
1090499,28
1090499,5
767037,38
982449,66
428890,2
660527,4
1091016,5
548609,5
548609,34
602944,10
883203,4
153522,9
1044586,34
768750,30
833317,13
1091936,11
1045609,30
1045609,27
884579,10
327632,12
662943,35
662851,20
662851,16
162866,10
770554,26
551905,10
1047801,37
1047465,28
607962,24
1095667,36
1095667,28
666256,11
773520,32
773212,51
609150,2
609231,2
666776,4
495659,8
839700,26
839912,5
1098489,33
1098382,50
1051238,27
1051238,45
775524,40
1098189,6
1051150,14
775619,30
557082,24
1051717,5
497202,39
942943,6
187675,24
1099162,3
557718,4
557457,14
558646,8
777385,83
364162,3
363692,20
443480,6
500172,3
1056227,5
996286,30
445351,9
1104357,17
1104606,49
1057670,30
1105463,3
949052,17
847759,39
563980,12
675971,2
847311,11
783180,12
1107421,35
898633,18
676588,9
565655,32
849800,3
951790,22
850341,12
900161,29
566412,31
450213,24
784726,32
950711,2
1001696,19
569770,14
788768,4
681011,6
238326,5
955333,11
955627,11
955198,40
1005435,11
1065951,32
790636,5
511946,5
511838,7
956892,5
1112530,8
512713,5
1064892,51
513148,10
1067111,6
857899,21
1067884,27
685846,5
573526,18
1114377,17
628793,5
744818,28
629549,16
685277,11
960425,23
459737,19
792823,12
1116963,20
1116963,9
515742,14
414771,7
461846,4
912610,16
416420,7
518725,2
795694,21
913444,5
798393,2
964516,27
964516,34
751269,10
1013577,29
749975,30
749975,32
692897,12
967003,3
752850,2
1119593,17
1074373,38
1075184,29
915746,19
1013902,44
1075618,51
465416,2
1121482,24
1121487,61
636585,15
754305,31
523920,5
917838,7
1078002,5
583606,56
582417,16
918856,27
869775,21
1078848,14
756162,31
1079025,8
1078536,38
756612,43
919962,9
1078400,12
425187,50
756922,6
640011,11
1080125,24
1080125,56
757164,11
587586,5
472279,6
472297,6
871249,5
1128814,55
809787,32
926384,36
1023346,12
704202,3
928315,61
762680,4
762724,37
476076,4
592678,2
1085792,40
812553,32
1133884,2
706901,33
537305,15
537177,43
1032104,3
712077,15
1137523,11
818821,9
715352,34
1034143,14
484265,4
541323,27
1036386,2
1036886,6
716537,7
1139520,15
1140807,21
541678,6
544532,12
544532,15
1147954,19
1147954,9
1088231,44
716879,29
716879,60
717002,9
980518,23
1089079,3
880492,23
1089355,8
1042007,18
1042007,29
881162,31
982524,4
882216,25
1043131,28
719737,64
661087,8
720249,30
1044243,11
721142,6
1092694,24
884752,32
884752,5
834367,17
986187,17
722922,27
886685,2
886685,8
886685,8
1094835,51
665120,11
1095272,21
1048041,6
772562,4
888138,8
725967,34
725967,5
888494,12
888494,2
888531,39
939878,5
888720,4
889651,15
990845,5
991071,16
611568,76
611568,19
942316,13
942316,32
942316,2
728780,19
728780,5
891420,9
1052288,6
891593,15
891593,6
729221,27
729221,84
670104,4
841877,4
729777,4
842218,13
730349,3
730349,6
730432,36
944171,6
778306,20
893573,6
893573,7
944683,67
945361,8
894540,11
995148,16
995148,43
1055428,36
844942,11
995779,6
1056107,24
895902,10
674243,12
781343,2
781343,6
734424,6
948456,47
998158,8
998748,16
898513,16
898665,48
1059048,10
1059378,13
783712,21
1059516,12
1059516,8
848966,2
1000317,35
1060320,8
737380,19
951529,47
1000690,4
951860,44
737866,15
737866,7
1108298,24
952173,48
952375,4
850992,15
902138,29
1002174,43
1002174,33
1062561,3
1062578,10
1110181,9
903875,25
1004340,17
1004586,8
905147,7
742438,8
790913,4
856802,9
857144,35
958413,5
744367,2
857859,21
857859,7
858095,26
959364,11
792669,26
1008038,28
1008613,8
515359,7
961621,37
961621,3
1117761,20
861212,17
1118067,6
1119160,33
1119103,4
749495,28
797070,22
797070,13
797070,3
797070,41
964250,2
691446,8
1119845,7
797735,34
1072971,3
1120195,16
1120232,7
1013350,21
1120833,20
1120833,30
1120833,27
965845,5
965845,5
1121061,11
1074087,5
1074087,6
751593,20
1074359,3
1121625,19
1122037,30
1122310,8
1075540,12
967516,7
1123121,19
1076563,9
1123753,9
1123822,41
1016822,16
1124082,17
969222,9
1124378,27
868477,6
1017409,9
969673,18
1077960,24
757854,5
757854,21
757854,5
757854,14
972660,32
1020436,13
701047,3
807136,12
924197,28
1128355,22
974554,20
1021699,34
925009,26
808491,6
808392,36
808935,4
1082631,3
1082631,2
1083021,3
927447,3
811385,14
876938,37
646269,25
1132517,9
979324,9
706830,15
1085796,13
1085796,35
764686,46
764686,24
479248,56
1135391,10
1135722,68
1029994,3
1136082,2
815685,12
815685,21
1137922,3
1137922,7
655393,4
1140031,11
1035826,6
716218,22
821142,17
1141376,2
1142618,11
823301,71
823787,54
828506,33
1146408,29
765881,28
1042453,17
767887,28
720035,27
767910,30
1091806,35
1093423,29
1093423,39
491265,22
1048292,37
840633,27
497334,58
561360,23
896032,26
896032,36
616798,23
948140,6
504181,8
785890,27
785890,31
622978,23
1063577,18
1004196,16
744119,29
746388,27
746388,26
860804,2
1070486,28
1118454,3
798026,27
798026,30
1014101,55
1014101,55
1014101,55
801397,28
801397,28
755410,24
1078549,26
870662,16
1126925,36
529614,21
1024522,31
977539,2
1083957,19
648998,27
651215,24
816527,63
1031668,26
1140218,40
1036175,38
1037875,25
312733,27
1041664,23
717963,74
766512,29
1090499,28
1090499,5
767037,38
982449,66
428890,2
660527,4
1091016,5
548609,5
548609,34
602944,10
883203,4
153522,9
1044586,34
768750,30
833317,13
1091936,11
1045609,30
1045609,27
884579,10
327632,12
662943,35
662851,20
662851,16
162866,10
770554,26
551905,10
1047801,37
1047465,28
607962,24
1095667,36
1095667,28
666256,11
773520,32
773212,51
609150,2
609231,2
666776,4
495659,8
839700,26
839912,5
1098489,33
1098382,50
1051238,27
1051238,45
775524,40
1098189,6
1051150,14
775619,30
557082,24
1051717,5
497202,39
942943,6
187675,24
1099162,3
557718,4
557457,14
558646,8
777385,83
364162,3
363692,20
443480,6
500172,3
1056227,5
996286,30
445351,9
1104357,17
1104606,49
1057670,30
1105463,3
949052,17
847759,39
563980,12
675971,2
847311,11
783180,12
1107421,35
898633,18
676588,9
565655,32
849800,3
951790,22
850341,12
900161,29
566412,31
450213,24
784726,32
950711,2
1001696,19
569770,14
788768,4
681011,6
238326,5
955333,11
955627,11
955198,40
1005435,11
1065951,32
790636,5
511946,5
511838,7
956892,5
1112530,8
512713,5
1064892,51
513148,10
1067111,6
857899,21
1067884,27
685846,5
573526,18
1114377,17
628793,5
744818,28
629549,16
685277,11
960425,23
459737,19
792823,12
1116963,20
1116963,9
515742,14
414771,7
461846,4
912610,16
416420,7
518725,2
795694,21
913444,5
798393,2
964516,27
964516,34
751269,10
1013577,29
749975,30
749975,32
692897,12
967003,3
752850,2
1119593,17
1074373,38
1075184,29
915746,19
1013902,44
1075618,51
465416,2
1121482,24
1121487,61
636585,15
754305,31
523920,5
917838,7
1078002,5
583606,56
582417,16
918856,27
869775,21
1078848,14
756162,31
1079025,8
1078536,38
756612,43
919962,9
1078400,12
425187,50
756922,6
640011,11
1080125,24
1080125,56
757164,11
587586,5
472279,6
472297,6
871249,5
1128814,55
809787,32
926384,36
1023346,12
704202,3
928315,61
762680,4
762724,37
476076,4
592678,2
1085792,40
812553,32
1133884,2
706901,33
537305,15
537177,43
1032104,3
712077,15
1137523,11
818821,9
715352,34
1034143,14
484265,4
541323,27
1036386,2
1036886,6
716537,7
1139520,15
1140807,21
541678,6
544532,12
544532,15
1147954,19
1147954,9
