id,score,total_errors,popularity
47550544,-1,1,unpopular
57938490,-1,6,unpopular
44327756,0,1,unpopular
58565440,0,5,unpopular
47736648,0,8,unpopular
60756062,0,7,unpopular
52202913,0,9,unpopular
60096392,0,1,unpopular
56955623,0,6,unpopular
56498520,0,1,unpopular
54325306,0,1,unpopular
50812852,0,2,unpopular
44209256,0,1,unpopular
61994954,0,2,unpopular
61863061,0,2,unpopular
48722690,0,9,unpopular
47321976,0,4,unpopular
60008373,0,1,unpopular
59204919,0,2,unpopular
55513105,0,9,unpopular
54350056,0,1,unpopular
60399703,0,9,unpopular
55992475,0,6,unpopular
54371542,0,1,unpopular
58595044,0,1,unpopular
56643708,0,7,unpopular
51369182,0,1,unpopular
45351123,0,11,unpopular
51341798,0,7,unpopular
56684045,0,2,unpopular
44194224,0,2,unpopular
50582837,0,1,unpopular
49853073,0,14,unpopular
48974719,0,22,unpopular
50558764,0,1,unpopular
54263490,0,7,unpopular
60653089,0,4,unpopular
50620956,0,9,unpopular
46138893,0,7,unpopular
61074950,0,15,unpopular
58691397,0,13,unpopular
52834310,0,1,unpopular
56041556,0,13,unpopular
60193390,0,2,unpopular
51378993,0,1,unpopular
53048099,1,1,neutral
47404389,1,2,neutral
49661729,1,9,neutral
60563992,1,4,neutral
53983065,1,1,neutral
44370866,1,2,neutral
60737639,1,1,neutral
47897441,1,2,neutral
52923730,1,19,neutral
57536426,1,2,neutral
50119399,1,1,neutral
48816096,1,2,neutral
46149103,1,1,neutral
50479954,1,2,neutral
58532269,1,6,neutral
55549688,1,3,neutral
51714125,1,5,neutral
50468917,1,2,neutral
48435433,1,6,neutral
54373139,1,6,neutral
49056684,1,1,neutral
54298614,1,1,neutral
46149343,1,5,neutral
54299870,1,1,neutral
59394162,1,13,neutral
59339737,1,4,neutral
48315411,1,9,neutral
44405396,1,2,neutral
61368144,1,1,neutral
61967755,1,2,neutral
50986628,1,3,neutral
54649264,1,1,neutral
26018049,1,1,neutral
53863073,1,1,neutral
54157841,1,2,neutral
57962496,1,2,neutral
61503288,1,1,neutral
59369096,1,2,neutral
60081635,1,6,neutral
55666489,1,8,neutral
44518512,1,5,neutral
61619341,1,14,neutral
45972237,1,1,neutral
57705391,2,3,neutral
46298944,2,1,neutral
48809317,2,4,neutral
51033635,2,1,neutral
52397516,2,5,neutral
36072355,2,1,neutral
60575306,2,1,neutral
49238023,2,3,neutral
58406165,2,4,neutral
57991127,2,4,neutral
45928115,2,3,neutral
54351182,2,1,neutral
55391566,2,2,neutral
57033546,2,1,neutral
60230434,2,1,neutral
61241564,2,1,neutral
48815362,2,2,neutral
61994960,2,4,neutral
60734742,2,14,neutral
59793227,2,2,neutral
51466348,2,3,neutral
47738468,2,1,neutral
51396097,2,8,neutral
61712525,2,1,neutral
50887454,3,1,neutral
60737620,3,1,neutral
60173100,3,2,neutral
52190576,3,11,neutral
29595867,3,1,neutral
45977825,3,18,neutral
35752159,3,1,neutral
48321335,3,9,neutral
47894652,3,6,neutral
59728385,3,1,neutral
57921406,3,5,neutral
45980338,3,1,neutral
55037435,3,8,neutral
59906263,3,1,neutral
55906375,3,6,neutral
48286338,3,6,neutral
54486212,3,4,neutral
48082976,3,3,neutral
53390638,3,1,neutral
28564853,3,4,neutral
55906353,3,4,neutral
58678049,3,5,neutral
35282754,4,1,neutral
36099282,4,4,neutral
55922315,4,1,neutral
53064056,4,8,neutral
34654192,4,6,neutral
52184094,4,16,neutral
40083520,4,1,neutral
52503696,4,5,neutral
34140529,4,1,neutral
45332318,4,1,neutral
45972036,4,2,neutral
54482435,4,3,neutral
55338136,4,1,neutral
47234904,5,1,popular
47536541,5,1,popular
44444248,5,1,popular
45490735,5,1,popular
41751983,5,4,popular
49720072,5,3,popular
44756777,7,9,popular
56014044,7,6,popular
60092998,7,1,popular
52123045,10,1,popular
59152712,11,2,popular
46048482,12,11,popular
55507718,12,5,popular
35852445,12,19,popular
46675407,15,1,popular
47766495,16,1,popular
43478510,17,2,popular
41863640,18,9,popular
56579244,35,2,popular
45554526,48,6,popular
41283570,87,10,popular
47639682,97,4,popular
