id,score,total_errors,popularity
49152058,-13,10,unpopular
60403686,-5,3,unpopular
51951848,-5,1,unpopular
45574008,-4,4,unpopular
52525649,-4,12,unpopular
45492080,-4,4,unpopular
59052940,-3,2,unpopular
61331109,-2,5,unpopular
61471696,-2,6,unpopular
53364796,-2,32,unpopular
60315957,-2,1,unpopular
48835652,-1,2,unpopular
56344133,-1,1,unpopular
35751356,-1,1,unpopular
50810964,-1,2,unpopular
50089249,-1,6,unpopular
46031921,-1,2,unpopular
59213193,-1,7,unpopular
41289501,-1,2,unpopular
56021390,-1,10,unpopular
59424513,-1,1,unpopular
57718166,0,1,unpopular
60409561,0,2,unpopular
60766978,0,15,unpopular
57034584,0,7,unpopular
56452640,0,1,unpopular
58583899,0,7,unpopular
56189804,0,1,unpopular
58636863,0,3,unpopular
61314478,0,2,unpopular
61356531,0,17,unpopular
61555293,0,1,unpopular
55606607,0,4,unpopular
57948870,0,3,unpopular
61024674,0,6,unpopular
61199548,0,1,unpopular
61487173,0,1,unpopular
61511216,0,1,unpopular
60921827,0,1,unpopular
57744333,0,1,unpopular
56319290,0,1,unpopular
56021473,0,1,unpopular
47846653,0,4,unpopular
57535917,0,4,unpopular
44266010,0,1,unpopular
60913601,0,2,unpopular
61835410,0,11,unpopular
61712411,0,1,unpopular
50291018,0,1,unpopular
60026073,0,1,unpopular
46981406,0,2,unpopular
61150627,0,2,unpopular
58600021,0,11,unpopular
60750306,0,1,unpopular
61025147,0,11,unpopular
56946081,0,2,unpopular
61195386,0,4,unpopular
61424514,0,1,unpopular
59190647,0,2,unpopular
53546381,0,35,unpopular
55606278,0,4,unpopular
51201189,0,10,unpopular
61460513,0,2,unpopular
61514682,0,2,unpopular
58595496,0,1,unpopular
59457505,0,1,unpopular
44082381,0,14,unpopular
61564834,0,4,unpopular
55199891,0,1,unpopular
52827496,0,1,unpopular
44172889,0,3,unpopular
59906140,0,2,unpopular
57943658,0,2,unpopular
52906363,0,3,unpopular
60766311,0,13,unpopular
56056618,0,1,unpopular
60443078,0,3,unpopular
53033094,0,3,unpopular
56332469,0,5,unpopular
58863665,0,1,unpopular
52513473,0,4,unpopular
60176731,0,1,unpopular
57825700,0,3,unpopular
51074953,0,1,unpopular
60080471,0,6,unpopular
56839924,0,1,unpopular
52465473,0,1,unpopular
43009838,0,1,unpopular
54583304,0,18,unpopular
57093311,0,2,unpopular
45272019,0,3,unpopular
47086319,0,9,unpopular
36438810,0,4,unpopular
48825743,0,1,unpopular
56701033,0,4,unpopular
55930275,0,1,unpopular
54580652,0,21,unpopular
40971614,0,3,unpopular
53351396,0,2,unpopular
56255964,0,12,unpopular
46464954,0,1,unpopular
48355559,0,6,unpopular
47547505,0,7,unpopular
55966327,0,2,unpopular
57636064,0,2,unpopular
54965849,0,1,unpopular
55084992,0,13,unpopular
61211530,0,4,unpopular
61660410,0,10,unpopular
59140941,0,8,unpopular
55091097,0,1,unpopular
61023358,0,1,unpopular
59478223,0,1,unpopular
55337961,0,1,unpopular
44443994,0,9,unpopular
45195566,0,9,unpopular
51119272,0,1,unpopular
59191087,0,2,unpopular
54695301,0,9,unpopular
54263432,0,7,unpopular
49852565,0,8,unpopular
53179841,0,6,unpopular
50810360,0,2,unpopular
50064024,0,3,unpopular
49212986,0,4,unpopular
49000960,0,8,unpopular
51050050,0,4,unpopular
44300416,0,4,unpopular
54325243,0,1,unpopular
51529710,1,10,neutral
49182590,1,1,neutral
56596747,1,3,neutral
58528461,1,2,neutral
58148750,1,1,neutral
57993350,1,1,neutral
60574699,1,4,neutral
56357566,1,13,neutral
53920392,1,2,neutral
55768947,1,10,neutral
45622142,1,2,neutral
49519739,1,1,neutral
52796402,1,2,neutral
44260597,1,1,neutral
62075246,1,1,neutral
59056049,1,11,neutral
57956063,1,2,neutral
60867626,1,1,neutral
59910894,1,1,neutral
60473476,1,6,neutral
49966539,1,1,neutral
61193288,1,1,neutral
51870221,1,6,neutral
58406051,1,6,neutral
52373783,1,9,neutral
28264083,1,6,neutral
60466936,1,4,neutral
57464016,1,2,neutral
52307142,1,1,neutral
54562713,1,2,neutral
49596922,1,21,neutral
51586423,1,32,neutral
52431198,1,13,neutral
53926190,1,3,neutral
56149667,1,18,neutral
44350146,1,4,neutral
48382101,1,3,neutral
44294970,1,2,neutral
54992024,1,2,neutral
57022019,1,12,neutral
52573605,1,1,neutral
57989947,1,4,neutral
60518546,1,3,neutral
60399702,1,9,neutral
50768832,1,1,neutral
59067172,1,1,neutral
55080998,1,3,neutral
51214561,1,2,neutral
50704890,1,2,neutral
61310030,1,1,neutral
53983049,1,1,neutral
55665324,1,2,neutral
56252911,1,17,neutral
48631992,1,12,neutral
46874406,1,10,neutral
53277906,1,1,neutral
47074091,1,1,neutral
40785564,1,1,neutral
46238953,1,10,neutral
54370415,1,35,neutral
58820520,1,4,neutral
47536474,1,1,neutral
55085832,1,3,neutral
61861183,1,1,neutral
60143604,1,1,neutral
60786688,1,3,neutral
59332292,1,1,neutral
58333039,1,3,neutral
52711363,1,8,neutral
57671050,1,1,neutral
52052921,1,1,neutral
52344672,1,1,neutral
43958725,1,1,neutral
49226137,1,4,neutral
52774588,2,4,neutral
57272465,2,1,neutral
61692384,2,3,neutral
39900723,2,1,neutral
50073307,2,19,neutral
44124825,2,4,neutral
53521240,2,2,neutral
35843266,2,3,neutral
45512852,2,1,neutral
61839800,2,1,neutral
57864279,2,1,neutral
55904099,2,1,neutral
52047687,2,2,neutral
59108030,2,18,neutral
58805372,2,2,neutral
57303806,2,2,neutral
44847230,2,4,neutral
51697533,2,2,neutral
48175768,2,3,neutral
42386765,2,1,neutral
33604619,2,5,neutral
54486087,2,28,neutral
44481924,2,1,neutral
42001355,2,2,neutral
36099066,2,49,neutral
33387657,2,1,neutral
49209534,2,1,neutral
52768998,2,5,neutral
50101852,2,2,neutral
53739245,2,2,neutral
49442458,2,4,neutral
49008821,2,9,neutral
47187808,2,4,neutral
39564198,2,1,neutral
47498258,2,26,neutral
45481449,2,2,neutral
54917173,2,1,neutral
53405872,2,20,neutral
54155416,2,4,neutral
45244010,2,12,neutral
49056544,2,10,neutral
46099618,2,11,neutral
38423531,2,2,neutral
50779679,3,3,neutral
51529528,3,9,neutral
54436668,3,2,neutral
48158291,3,6,neutral
21940117,3,3,neutral
60273718,3,7,neutral
53582212,3,1,neutral
47654537,3,4,neutral
55531464,3,1,neutral
53182554,3,7,neutral
52712596,3,1,neutral
43766441,3,1,neutral
55551255,3,3,neutral
59436139,3,12,neutral
55405905,3,1,neutral
42613323,3,1,neutral
29732137,3,2,neutral
36825297,3,3,neutral
45194148,3,4,neutral
54327143,3,4,neutral
47738436,3,1,neutral
56171739,3,14,neutral
45710060,3,1,neutral
48435159,3,6,neutral
50080210,3,5,neutral
55201230,4,1,neutral
54263514,4,1,neutral
55604135,4,1,neutral
58531157,4,1,neutral
41614490,4,2,neutral
52184029,4,1,neutral
56790562,4,5,neutral
50951111,4,1,neutral
42801780,4,3,neutral
52192231,4,6,neutral
44290467,4,1,neutral
54336836,4,5,neutral
55885474,4,3,neutral
36068033,4,17,neutral
